"team","week","off_oasis"
"ARI",1,0.158576163298352
"ARI",2,0.336727982568965
"ARI",3,-0.160809949740737
"ARI",4,-0.0639657912246889
"ARI",5,-0.0122243950017074
"ARI",6,-0.132826580552079
"ARI",7,0.127130784793321
"ARI",8,0.25644297216184
"ARI",9,0.0752067297035393
"ARI",10,0.348130258112174
"ARI",12,-0.22038480178131
"ARI",13,0.0431505927778828
"ARI",14,-0.148795859405093
"ARI",15,0.220377042200989
"ARI",16,0.130673348370103
"ARI",17,-0.139207758622262
"ARI",18,0.266116592813033
"ATL",1,-0.349567049358224
"ATL",2,0.182893840343604
"ATL",3,-0.0396381733230415
"ATL",4,0.159260258317634
"ATL",5,0.20173986737654
"ATL",6,0.299931087531284
"ATL",7,-0.163037865830643
"ATL",8,0.208553468829606
"ATL",9,0.0885372125483779
"ATL",10,-0.0922721155781944
"ATL",11,-0.157755553066166
"ATL",13,-0.250310633539026
"ATL",14,0.018917555389788
"ATL",15,-0.211680268180911
"ATL",16,0.0601692755258923
"ATL",17,0.117471417777208
"ATL",18,0.229948465529144
"BAL",1,0.0183619143746939
"BAL",2,-0.0378916752904937
"BAL",3,0.153753375710215
"BAL",4,0.249231331868828
"BAL",5,0.229592982195826
"BAL",6,0.206876489366906
"BAL",7,0.340925380800327
"BAL",8,0.0620959673743055
"BAL",9,0.368661184717376
"BAL",10,0.342665270605965
"BAL",11,-0.205166412668037
"BAL",12,0.3408655519654
"BAL",13,-0.0688436673276122
"BAL",15,0.386666029880483
"BAL",16,0.177981771917167
"BAL",17,0.281856625235768
"BAL",18,0.09151161463045
"BAL",19,0.269402229262424
"BAL",20,0.0950053275338872
"BUF",1,0.203531905642499
"BUF",2,0.178502285068439
"BUF",3,0.383316246405416
"BUF",4,-0.148285500026106
"BUF",5,0.00712539305732197
"BUF",6,0.164530371206089
"BUF",7,0.179105230649431
"BUF",8,0.213394538518568
"BUF",9,0.250067592234312
"BUF",10,-0.00210096421053953
"BUF",11,0.183383600408268
"BUF",13,0.23780454284824
"BUF",14,0.323694617168013
"BUF",15,0.421742573132391
"BUF",16,0.0992047228889164
"BUF",17,0.166166570850407
"BUF",18,-0.0742848292108742
"BUF",19,0.300351948292398
"BUF",20,0.157162265777667
"BUF",21,0.194919039281677
"CAR",1,-0.393150360385226
"CAR",2,-0.408705128922163
"CAR",3,0.228726269170646
"CAR",4,0.0376331516397162
"CAR",5,-0.187289121626599
"CAR",6,-0.0854699579363358
"CAR",7,-0.448405629368636
"CAR",8,-0.123247419562302
"CAR",9,0.0946730525071322
"CAR",10,-0.0515138707945097
"CAR",12,0.170673563117486
"CAR",13,-0.0440206701319646
"CAR",14,0.0147571093954369
"CAR",15,-0.112687741187611
"CAR",16,0.232966039346436
"CAR",17,-0.123309517077165
"CAR",18,0.406259351191233
"CHI",1,-0.222803248068393
"CHI",2,-0.119882343500085
"CHI",3,-0.15409324298531
"CHI",4,0.122298190995669
"CHI",5,0.166086224703978
"CHI",6,0.29609490300576
"CHI",8,-0.0575579587592619
"CHI",9,-0.160685891266455
"CHI",10,-0.304642338994543
"CHI",11,0.13958557334279
"CHI",12,0.0565296334707325
"CHI",13,0.0550370932584836
"CHI",14,-0.0766198246953099
"CHI",15,-0.22230875345822
"CHI",16,-0.0239601354033159
"CHI",17,-0.137241745282277
"CHI",18,-0.155460860338237
"CIN",1,-0.0512434477423316
"CIN",2,0.0481797311707908
"CIN",3,0.325062857934395
"CIN",4,0.251473366874881
"CIN",5,0.249875075463885
"CIN",6,0.0644711268487145
"CIN",7,-0.0164390419172687
"CIN",8,0.00207825586568079
"CIN",9,0.130334628438855
"CIN",10,0.22545351959423
"CIN",11,0.0283534614389794
"CIN",13,0.0525127709630031
"CIN",14,0.186254590271731
"CIN",15,0.0990471354962454
"CIN",16,0.0501465371613841
"CIN",17,0.153957616289049
"CIN",18,0.071043783260099
"CLE",1,-0.250629875907186
"CLE",2,0.0773903494849212
"CLE",3,-0.29704766813413
"CLE",4,-0.139457172434396
"CLE",5,-0.197400615591361
"CLE",6,-0.0606439861584933
"CLE",7,-0.197858047229509
"CLE",8,0.159544240142694
"CLE",9,-0.294167371191138
"CLE",11,-0.0413058397495295
"CLE",12,-0.0499532444404245
"CLE",13,-0.12541496512902
"CLE",14,-0.204479158650753
"CLE",15,-0.37047094551812
"CLE",16,-0.249847080624463
"CLE",17,-0.311508982076883
"CLE",18,-0.30562454511734
"DAL",1,-0.0137302529734273
"DAL",2,-0.0600468610333819
"DAL",3,0.0830154867444376
"DAL",4,0.145307403315209
"DAL",5,0.148659549720074
"DAL",6,-0.293687306954935
"DAL",8,0.0224187176043136
"DAL",9,-0.0458572637392365
"DAL",10,-0.5487664399082
"DAL",11,-0.230418664159492
"DAL",12,0.0556809487160252
"DAL",13,-0.0475746093806257
"DAL",14,0.0254806747288394
"DAL",15,0.211980006598515
"DAL",16,0.108512352517194
"DAL",17,-0.345164860236986
"DAL",18,0.0782698921040735
"DEN",1,-0.126867057175691
"DEN",2,-0.137562848818141
"DEN",3,0.120107364888092
"DEN",4,-0.268997954266267
"DEN",5,0.0952374112329246
"DEN",6,-0.0850588227929687
"DEN",7,0.123524257790396
"DEN",8,0.072233214218932
"DEN",9,-0.120807114638688
"DEN",10,-0.041695546848061
"DEN",11,0.314584417233008
"DEN",12,0.11902412638623
"DEN",13,0.16917509262882
"DEN",15,-0.222579164168863
"DEN",16,0.168841601550824
"DEN",17,0.183945675596491
"DEN",18,0.333645339693768
"DEN",19,-0.0784850837568815
"DET",1,0.110658921455267
"DET",2,-0.111850831119939
"DET",3,0.012129041676914
"DET",4,0.362420957245675
"DET",6,0.346023075218662
"DET",7,0.0270634130845233
"DET",8,0.225905800841291
"DET",9,0.18769873091981
"DET",10,-0.0810220383495868
"DET",11,0.512767221584494
"DET",12,0.155776736484094
"DET",13,0.067628905817525
"DET",14,0.0736470534290078
"DET",15,0.185663150074803
"DET",16,0.305629687864713
"DET",17,0.445753526856498
"DET",18,0.022540887622444
"DET",20,0.032968162581253
"GB",1,0.145227189300276
"GB",2,0.000801684478070154
"GB",3,0.105331779855684
"GB",4,-0.0892034411223061
"GB",5,0.0511759454351005
"GB",6,0.216085566128704
"GB",7,0.0156718845849277
"GB",8,0.21928315259649
"GB",9,-0.0997180419138965
"GB",11,0.323679563291245
"GB",12,0.160263822960482
"GB",13,0.327174711819953
"GB",14,0.166122355724008
"GB",15,0.105068956153246
"GB",16,0.298255850435786
"GB",17,-0.0513428978913182
"GB",18,-0.232017932368804
"GB",19,-0.20361245538875
"HOU",1,0.179967969717803
"HOU",2,-0.0181440398860339
"HOU",3,-0.2818704435271
"HOU",4,0.152961943158529
"HOU",5,-0.0488079992886388
"HOU",6,0.127013900155686
"HOU",7,0.0801403093248048
"HOU",8,-0.0309146158407929
"HOU",9,0.0209593923133666
"HOU",10,-0.14013105004158
"HOU",11,0.136517462619676
"HOU",12,-0.105836449634742
"HOU",13,0.139364727304892
"HOU",15,-0.143925250791434
"HOU",16,0.0904066457539467
"HOU",17,-0.273304978436863
"HOU",18,0.150348343699284
"HOU",19,-0.108815286007075
"HOU",20,-0.0296997145210163
"IND",1,0.152040831794042
"IND",2,-0.122751534249855
"IND",3,-0.131799140524425
"IND",4,0.0651100869761815
"IND",5,0.227264185430651
"IND",6,0.0514412067472526
"IND",7,-0.159162491441271
"IND",8,-0.00143055079262444
"IND",9,-0.335341516241828
"IND",10,-0.25805044067317
"IND",11,0.0737476153340182
"IND",12,-0.157596826295232
"IND",13,0.144301206211727
"IND",15,-0.478742461190147
"IND",16,0.164192517678011
"IND",17,0.0788130328538576
"IND",18,0.0693283256405399
"JAX",1,-0.0547367841188447
"JAX",2,-0.0325894348559076
"JAX",3,-0.1671280972108
"JAX",4,0.179489417269089
"JAX",5,0.310711817548107
"JAX",6,0.010303085913489
"JAX",7,0.264222758356686
"JAX",8,0.0714448127667946
"JAX",9,-0.148757417200849
"JAX",10,-0.257602764661141
"JAX",11,-0.188334729209111
"JAX",13,0.0298704793902008
"JAX",14,0.0251973231668048
"JAX",15,0.162778678554121
"JAX",16,-0.192706739931799
"JAX",17,0.157855011532976
"JAX",18,0.0769782481397024
"KC",1,0.149726356517989
"KC",2,0.0107203087359693
"KC",3,0.0995054266430501
"KC",4,-0.106608936777189
"KC",5,0.102058877300118
"KC",7,0.0630102465707396
"KC",8,0.0932105182240488
"KC",9,0.181796300559543
"KC",10,0.0734879193541691
"KC",11,0.0374772385979403
"KC",12,0.28271306887752
"KC",13,-0.0187291813401684
"KC",14,0.115257069743155
"KC",15,-0.01438994183477
"KC",16,0.163796103723774
"KC",17,0.220400922020192
"KC",18,-0.305879176380471
"KC",20,0.164729496418431
"KC",21,0.25073137844711
"KC",22,-0.292283229142076
"LA",1,0.0669959352954256
"LA",2,-0.156797190443169
"LA",3,0.201424660781606
"LA",4,0.00919918596378336
"LA",5,-0.101487698773818
"LA",7,-0.355092190795432
"LA",8,0.221964720899323
"LA",9,0.00265431209991987
"LA",10,-0.235437025402563
"LA",11,0.293259044110171
"LA",12,-0.0253819287655826
"LA",13,0.142645116574584
"LA",14,0.287440469402106
"LA",15,-0.035333764639513
"LA",16,0.156434103039431
"LA",17,-0.0409219226037494
"LA",18,0.0916078457146984
"LA",19,0.0786581085218248
"LA",20,-0.0594078308881089
"LAC",1,-0.109056388005409
"LAC",2,0.0845506272512289
"LAC",3,-0.105230680547175
"LAC",4,-0.225662285773177
"LAC",6,0.125343220876028
"LAC",7,0.132667178070993
"LAC",8,0.0678886114648381
"LAC",9,-0.00338593564386202
"LAC",10,0.260928224854056
"LAC",11,0.0619197650335824
"LAC",12,0.0993598778922102
"LAC",13,-0.181164125208214
"LAC",14,0.123857003865418
"LAC",15,-0.216705726564575
"LAC",16,0.277185096344186
"LAC",17,0.2769151992202
"LAC",18,0.254134599920232
"LAC",19,-0.443750688651326
"LV",1,-0.390705964205861
"LV",2,0.0531840444201393
"LV",3,-0.0728020857222115
"LV",4,-0.113896454413332
"LV",5,-0.276083463493251
"LV",6,-0.338815489393889
"LV",7,-0.310055217899885
"LV",8,-0.0704539887978786
"LV",9,-0.0984726281747875
"LV",11,0.152975358940122
"LV",12,-0.101664372409989
"LV",13,-0.0492790189265934
"LV",14,-0.164082163650606
"LV",15,-0.297857454862478
"LV",16,-0.108587109852226
"LV",17,0.103787854871575
"LV",18,-0.0209714693066041
"MIA",1,0.038597194906306
"MIA",2,-0.266395386615911
"MIA",3,-0.383460982444208
"MIA",4,-0.29579164003605
"MIA",5,-0.0580093919173487
"MIA",7,-0.288352855898283
"MIA",8,0.225286570155056
"MIA",9,0.241993066900991
"MIA",10,-0.0126181698668057
"MIA",11,0.359250644968392
"MIA",12,0.044798004459267
"MIA",13,0.0718323635304626
"MIA",14,0.273958339853874
"MIA",15,-0.220476272181254
"MIA",16,0.21100029536435
"MIA",17,-0.070894443746546
"MIA",18,-0.0968890779387869
"MIN",1,0.140867199777483
"MIN",2,-0.000252301280482792
"MIN",3,0.129752737905813
"MIN",4,0.0466668313428457
"MIN",5,-0.102035321888007
"MIN",7,0.0332224003307506
"MIN",8,0.119499313046687
"MIN",9,-0.204347254113324
"MIN",10,-0.0487298045919336
"MIN",11,0.0369489370731288
"MIN",12,0.18340803391547
"MIN",13,0.0106695495104268
"MIN",14,0.387502422781759
"MIN",15,0.0525219839061414
"MIN",16,0.198801941687058
"MIN",17,-0.00418157228134974
"MIN",18,-0.232584783068417
"MIN",19,-0.288317230914598
"NE",1,0.123753794953149
"NE",2,0.0277578588051884
"NE",3,-0.219414396518958
"NE",4,-0.313233924092292
"NE",5,-0.187101741389702
"NE",6,-0.244253811201018
"NE",7,-0.0119129718867164
"NE",8,0.089522570318
"NE",9,-0.0977890220955416
"NE",10,-0.0222753795925878
"NE",11,0.0521005588142908
"NE",12,-0.217853132001704
"NE",13,0.0606305930104023
"NE",15,-0.0240241955933769
"NE",16,-0.0274457842913748
"NE",17,-0.301797636085268
"NE",18,0.0235962168804787
"NO",1,0.230867351524122
"NO",2,0.437662545071091
"NO",3,-0.143421779299612
"NO",4,0.00345094006032045
"NO",5,-0.0886859785685035
"NO",6,-0.298361842195396
"NO",7,-0.307733210368829
"NO",8,-0.20487206304523
"NO",9,0.0806843483027169
"NO",10,0.00157965411451497
"NO",11,0.275462904918375
"NO",13,-0.00637999815464334
"NO",14,-0.141026975447393
"NO",15,-0.000165701299188856
"NO",16,-0.275825438475718
"NO",17,-0.23474122937598
"NO",18,0.0695783541574541
"NYG",1,-0.237731209246402
"NYG",2,0.129358104147501
"NYG",3,-0.0872239474735403
"NYG",4,0.044099375109642
"NYG",5,-0.0625477158137437
"NYG",6,-0.175498358317725
"NYG",7,-0.271809029828653
"NYG",8,-0.025571612202543
"NYG",9,0.0872384694025044
"NYG",10,-0.159196018804743
"NYG",12,-0.206402806316385
"NYG",13,-0.23137390653659
"NYG",14,-0.1851819224337
"NYG",15,-0.040816262458296
"NYG",16,-0.468015924389144
"NYG",17,0.40445974857742
"NYG",18,-0.0706778325710188
"NYJ",1,-0.0224895240615613
"NYJ",2,0.137373537471531
"NYJ",3,0.133216748800298
"NYJ",4,-0.241810440528529
"NYJ",5,-0.22419875409417
"NYJ",6,0.127233367325901
"NYJ",7,-0.147476180239835
"NYJ",8,0.0161086846029172
"NYJ",9,0.198074388148538
"NYJ",10,-0.0477256517152669
"NYJ",11,0.0179219268797322
"NYJ",13,-0.163844355703348
"NYJ",14,0.253789709552668
"NYJ",15,0.442845236576098
"NYJ",16,-0.143158729943266
"NYJ",17,-0.221878647693363
"NYJ",18,0.0622320041187142
"PHI",1,0.143237438681631
"PHI",2,0.105879850274797
"PHI",3,-0.0397356531921728
"PHI",4,-0.0475867731638656
"PHI",6,0.0259809392342476
"PHI",7,0.168148570818118
"PHI",8,0.378281608752162
"PHI",9,0.000187301266343065
"PHI",10,-0.0633437716514739
"PHI",11,0.106675264272243
"PHI",12,0.323177991811799
"PHI",13,0.0669610684800084
"PHI",14,0.0845765129265612
"PHI",15,0.16998190552462
"PHI",16,0.15492241775872
"PHI",17,0.252433491713083
"PHI",18,0.0156066535170402
"PHI",19,-0.00238821167803913
"PHI",20,0.117142234327901
"PHI",21,0.348244997517986
"PHI",22,0.121827432489685
"PIT",1,-0.0306513654782616
"PIT",2,0.0123853859253521
"PIT",3,0.16198916056178
"PIT",4,-0.0113101361514874
"PIT",5,0.0479037797978473
"PIT",6,0.134399226480828
"PIT",7,0.211576913680973
"PIT",8,0.0645698488750591
"PIT",10,0.12326751124492
"PIT",11,-0.111621227837528
"PIT",12,-0.0420024478983543
"PIT",13,0.198763373839529
"PIT",14,0.0215156189795595
"PIT",15,-0.0685183425309994
"PIT",16,-0.108144389864745
"PIT",17,-0.132771361503301
"PIT",18,0.0164288026689513
"PIT",19,0.0798178992674146
"SEA",1,-0.0479374655005509
"SEA",2,0.0938461012133397
"SEA",3,-0.0561796510245599
"SEA",4,0.0643243067807346
"SEA",5,-0.266509117678691
"SEA",6,0.0160275960136048
"SEA",7,0.229336672324956
"SEA",8,-0.148456120340111
"SEA",9,-0.301662605042771
"SEA",11,0.115230072508469
"SEA",12,-0.0217921652172434
"SEA",13,-0.00127841731977771
"SEA",14,0.111726994831934
"SEA",15,-0.203941513508941
"SEA",16,0.0339068231286642
"SEA",17,-0.123396527410193
"SEA",18,0.232608800046396
"SF",1,0.18485435600453
"SF",2,-0.158523395241052
"SF",3,0.137026638226756
"SF",4,0.00228386725544537
"SF",5,-0.092824815507139
"SF",6,0.295418625059662
"SF",7,-0.156877072278906
"SF",8,0.193418711174995
"SF",10,0.148621951249286
"SF",11,-0.0012231959774291
"SF",12,-0.296544555936427
"SF",13,-0.274689400307154
"SF",14,0.330813389896193
"SF",15,-0.195268356409234
"SF",16,0.00413373291492614
"SF",17,0.160794743324084
"SF",18,-0.0369222743426543
"TB",1,0.325315801296862
"TB",2,-0.014023675466352
"TB",3,-0.304930370002971
"TB",4,0.252177409370238
"TB",5,0.21666966047287
"TB",6,0.0716328969412866
"TB",7,0.0650232823674623
"TB",8,0.0284771047290334
"TB",9,0.164806224811169
"TB",10,0.0943074132302288
"TB",12,0.22476235988304
"TB",13,-0.00518553303748975
"TB",14,0.0621991257283126
"TB",15,0.244217788274103
"TB",16,-0.0137144632443361
"TB",17,0.40207471418553
"TB",18,0.197480028553077
"TB",19,0.101480343166336
"TEN",1,-0.430894241720133
"TEN",2,-0.0544420805633154
"TEN",3,-0.34094731567653
"TEN",4,0.0489617665169422
"TEN",6,-0.0138797194967055
"TEN",7,-0.167184482351348
"TEN",8,-0.352551126416653
"TEN",9,-0.043076963990339
"TEN",10,0.0443645761726874
"TEN",11,-0.0776468821537352
"TEN",12,0.00090949943519077
"TEN",13,-0.137381443316152
"TEN",14,-0.153042303325537
"TEN",15,-0.0967296986053485
"TEN",16,0.0448021512096817
"TEN",17,0.0106530840819065
"TEN",18,-0.136811673990791
"WAS",1,0.0509530468676519
"WAS",2,0.182365059027302
"WAS",3,0.523697053093181
"WAS",4,0.386587150848209
"WAS",5,0.0873748870601705
"WAS",6,0.16976007936242
"WAS",7,0.230327272203601
"WAS",8,0.17523630084499
"WAS",9,0.340272091159613
"WAS",10,0.0218895941888407
"WAS",11,-0.0484897798221309
"WAS",12,-0.0283931076377436
"WAS",13,0.187600068453751
"WAS",15,0.0483164485857686
"WAS",16,0.113274435504796
"WAS",17,0.160581569151836
"WAS",18,0.203302679290729
"WAS",19,0.216784094426305
"WAS",20,0.308261791833558
"WAS",21,-0.0700745131995203
NA,1,NA
NA,2,NA
NA,3,NA
NA,4,NA
NA,5,NA
NA,6,NA
NA,7,NA
NA,8,NA
NA,9,NA
NA,10,NA
NA,11,NA
NA,12,NA
NA,13,NA
NA,14,NA
NA,15,NA
NA,16,NA
NA,17,NA
NA,18,NA
NA,19,NA
NA,20,NA
NA,21,NA
NA,22,NA
